TaxID	NAME	GOTTCHA	GOTTCHA2	BWA	KRAKEN2	METAPHLAN2	PANGIA	DIAMOND	CENTRIFUGE	
1500822	Propionibacterium phage PHL150M00			v	v		v	v	v
8563			v						
1120623	Achromobacter sp. LC458							v	
1303785	Staphylococcus aureus M1228						v		
2045107	Nonomuraea cavernae							v	
5006			v						
1852776	Perlucidibaca aquatica							v	
1393708	Staphylococcus aureus M1571						v		
29429	Methylorubrum zatmanii			v	v			v	v
1562308	Marinobacter piscensis							v	
1834188	Enterococcus sp. 7E2_DIV0204							v	
1172191	Catenovulum							v	
1922777	Changjiang narna-like virus 2			v	v		v	v	v
18581			v						
2029406	Mesorhizobium sp. WSM3879							v	
1851207	Sphingobium sp. SA916							v	
436295	Salmonella enterica subsp. enterica serovar Poona								v
1837130	Bacillus sp. FJAT-14266			v	v			v	v
1402664	Staphylococcus aureus M1152						v		
1191699	Schinkia oryziterrae					v		v	
2079289	Pseudomonas phage Littlefix				v				
1387			v						
1016856	Banana streak UL virus	v		v	v	v	v	v	v
2183878	Enterobacter sp. CGMCC 5087							v	
1785	Mycobacterium sp.		v						
1266977	Sida yellow net virus	v		v	v		v	v	v
2035452	Rhizobium sp. L43							v	
1938747	Burkholderia sp. JKS000303							v	
1572758	Thauera sp. SWB20							v	
2502219	Caulobacter sp. 3R27C2-B							v	
1293441	Lysinibacillus contaminans							v	
17145			v						
16590			v						
26844			v						
315423	Palleronia marisminoris							v	
2364200	Blechmonas luni narnavirus 1				v				v
908100	Bhendi yellow vein mosaic virus [India:Pandarahalli:OY167:2006]			v					
336810	Candidatus Sulcia muelleri			v	v			v	v
19092			v						
2762227	Oerskovia sp. Sa2CUA9							v	
81408	Parageobacillus caldoxylosilyticus							v	
992034	Helicobacter pylori Hp A-9					v			
2301566	Mycobacterium phage JoeyJr				v				
1244528	Campylobacter fetus subsp. testudinum 03-427	v		v		v	v		
2511819	Salmonella enterica subsp. enterica serovar Brancaster				v				v
583358	Thermoanaerobacter mathranii subsp. mathranii str. A3	v		v	v	v			v
1805971	Hydrogenophaga laconesensis							v	
1566247	Pseudomonas sp. NFACC10-1							v	
12093	Human hepatitis A virus Shanghai/LCDC-1/1984		v						
582675	Methylobacterium gossipiicola							v	
135569	Helicobacter apodemus				v			v	v
16355			v						
1568973	Botrytis cinerea RNA virus 1	v		v	v		v	v	v
1638	Listeria ivanovii				v			v	
2126803	Acinetobacter phage vB_AbaP_D2				v				v
1923753	Wuhan spider virus 4			v	v		v	v	v
215920	Sadwavirus					v			
1960125	Parendozoicomonas haliclonae							v	
526985	Bacillus cereus Rock3-42				v				
1849533	Fusarium poae partitivirus 2			v	v		v	v	v
21836			v						
2082392	Devosia naphthalenivorans							v	
1945634	Butyricicoccus porcorum							v	
2203	Methanospirillum hungatei							v	
575605	Lactobacillus jensenii 115-3-CHN					v			
2742601	Limosilactobacillus portuensis							v	
16410			v						
999892	Cutibacterium modestum P08					v			
1229492	Staphylococcus aureus 08BA02176	v		v	v		v		v
469585	Bacteroides sp. 1_1_14					v		v	
1085644	Allofrancisella frigidaquae				v			v	
1073383	Aeromonas veronii AMC34					v			
13334	Anaerobiospirillum							v	
1915317	Thioclava sp. F36-7							v	
1204529	Salmonella phage SSE121			v	v		v	v	v
50339	Thermoplasma volcanium							v	
15874			v						
2292370	Ruminococcus sp. AM29-26							v	
26831			v						
5804	Eimeria maxima		v						
1286376	delta proteobacterium PSCGC 5451							v	
1618253	Avon-Heathcote Estuary associated circular virus 29			v	v		v	v	v
399320	Sphaerochaeta							v	
9968			v						
2508877	Idiomarina sp. 29L							v	
449974	Chelativorans oligotrophicus							v	
2024262	Agrobacterium phage Atu_ph03				v				
1699361	Bat SARS-like coronavirus YNLF_34C			v					
1093100	Pseudomonas virus FHA0480				v				v
1500831	Propionibacterium phage PHL301M00			v	v		v	v	v
1923380	Sanxia sobemo-like virus 1			v	v		v	v	v
32182	Amauropelta beddomei		v						
5464	Colletotrichum musae		v						
40979	Cocksfoot mottle virus	v		v	v	v	v	v	v
1123251	Serinicoccus marinus DSM 15273				v	v			v
1241982	Chryseobacterium nakagawai				v			v	v
1194757	Canine circovirus	v		v	v	v	v	v	v
1518361	Norovirus Hu/GII.4/Sakai3/2012/JP			v					
555079	Thermosediminibacter oceani DSM 16646	v		v	v	v	v		v
2562178	Klebsiella phage Pharr				v				
1029982	Salmonella enterica subsp. enterica serovar Tallahassee str. 0012					v			
1182188	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000958				v				v
650150	Erysipelothrix rhusiopathiae str. Fujisawa	v		v	v	v	v		v
2486417	Streptomyces sp. NEAU-LD23							v	
1792834	Marinicella sediminis							v	
2293295	Longjawed orbweaver circular virus 2				v				v
2745874	Deinococcus sp. 14RED07							v	
65741	Pseudomonas knackmussii				v			v	v
1720501	Escherichia phage slur08			v					
2606717	Jiella sp. R10							v	
20873			v						
525326	Lactobacillus paragasseri JV-V03				v	v			v
1203	Scytonema		v					v	
325111	Ludwigia yellow vein virus	v		v	v	v	v	v	v
889254	Campylobacter jejuni subsp. jejuni 2008-979					v			
1176765	Yersinia phage YpP-R			v					
4261	Anisocarpus scabridus		v						
2656556	Mycobacterium phage Atcoo				v				
59305	Bebaru virus	v		v	v	v	v	v	v
630527	Lactobacillus gasseri 202-4					v			
28275	Human adenovirus D10			v					
1470540	Jeotgalibaca							v	
1354	Enterococcus hirae			v	v			v	v
1291874	Norovirus Hu/GII/20478/2010/VNM			v					
454159	Kiloniella							v	
2588534	Methylophilus medardicus				v				
83655	Leclercia adecarboxylata			v	v			v	v
21881			v						
8			v						
1074109	Streptococcus mutans TCI-92					v			
1188233	Mycoplasma auris 15026					v			
2359			v						
1965454	Acinetobacter phage WCHABP12				v				v
1008460	Pyrococcus yayanosii							v	
1922621	Beihai picorna-like virus 74			v	v		v	v	v
29527	Syntrophobacter wolinii		v						
1168061	Pseudomonas aeruginosa LCT-PA102					v			
2512117	Caulobacter sp. BK020							v	
134394	Lonomia obliqua multiple nucleopolyhedrovirus				v				v
436242	Pepper leaf curl virus satellite DNA beta	v		v	v		v	v	v
1622207	Haloarcula sp. K1							v	
19727			v						
2509455	Agromyces protaetiae				v				v
2749421	Enterovirus C105			v					
2596897	Pseudomonas sp. ST1							v	
484896	Pseudomonas phage LUZ19	v		v	v	v	v	v	v
285892	unclassified Rhodobacterales							v	
2500828	Klebsiella phage KpKT21phi1				v				
1188007	Kingella kingae 11220434					v			
1157394	Enterococcus faecalis EnGen0208					v			
1323738	Pseudidiomarina planktonica							v	
342110	Ralstonia solanacearum UW551					v			
35267	Porcine adenovirus 4				v		v		
660658	Norovirus Hu/GII.4/CHDC4108/1987/US			v					
2840373	Streptomyces sp. YPW6							v	
21057			v						
1790044	Pseudomonas sp. Pdm06							v	
2799564	Pseudoalteromonas sp. LC2018020214				v			v	
1156987	Bradyrhizobium elkanii 587					v			
935646	Dyoepsilonpapillomavirus					v			
14419			v						
1302863	Streptococcus cristatus AS 1.3089	v		v	v	v	v		v
1970471	Gilliamella sp. N-G2							v	
1743166	Polynucleobacter hirudinilacicola							v	
2292931	Bacteroides sp. AF34-31BH							v	
397291	Lachnospiraceae bacterium A4							v	
1566309	Wellfleet Bay virus			v	v		v	v	v
1747352	Salmonella phage fSE1C			v					
1185680	Xanthomonas axonopodis pv. manihotis str. IBSBF 2670					v			
1640972	Pseudomonas phage DL62			v	v		v	v	v
1188228	Gloeomargarita lithophora							v	
1547219	Lake Sinai virus			v	v		v	v	v
246272	Alkalihalobacillus bogoriensis							v	
1158505	Staphylococcus aureus M1565						v		
313612	Lyngbya sp. PCC 8106					v		v	
491078	Treponema pallidum subsp. pertenue str. SamoaD	v			v	v			
2081702	Actinomyces sp. oral taxon 897				v				v
1280682	Butyrivibrio sp. XBB1001							v	
1715189	Rothia sp. HMSC069D01							v	
2748321	Salinispora sp. H7-4							v	
508754	Ludwigia leaf distortion betasatellite [India:Bhangha:Hibiscus:2006]			v					
866774	Fannyhessea vaginae PB189-T1-4					v			
1321774	Leptotrichia sp. oral taxon 225 str. F0581					v			
2059879	Vibrio phage VEN				v				
1585868	Comamonas sp. M-X1C							v	
39	Archangiaceae		v					v	
1449437	Pseudomonas phage vB_PaeP_Tr60_Ab31	v		v	v		v	v	v
1429758	Pseudomonas phage phiIBB-PAA2	v		v	v		v	v	v
405416	Acinetobacter baumannii ACICU	v		v	v	v			v
1920029	Flavobacterium sp. YO12							v	
1203632	Corynebacterium sp. KPL2004					v		v	
505353	Roseovarius halotolerans							v	
32042	Pseudomonas stutzeri ATCC 14405 = CCUG 16156					v			
15984			v						
522492	Pseudomonas massiliensis							v	
2016461	Giant panda associated gemycircularvirus			v	v		v	v	v
257363	Rickettsia typhi str. Wilmington	v		v	v	v	v		v
1883430	Elizabethkingia sp. HvH-WGS333							v	
1837089	Rhizoctonia oryzae-sativae mitovirus 1			v	v		v	v	v
1333523	Salinarchaeum sp. Harcht-Bsk1	v		v	v	v		v	v
1391728	Helicobacter pylori 26695-1CH			v	v				v
308892	Mesobacillus boroniphilus							v	
47858	Micromonospora echinofusca				v			v	
28181	Magnetovibrio blakemorei		v					v	
2841063	Pseudomonas sp. SK2				v			v	
22227			v						
905828	Duck astrovirus GII.A					v			
1458843	Pseudomonas phage phiPsa374	v		v	v		v	v	v
1157029	Staphylococcus aureus M0427					v			
1151261	Clostridioides difficile CD38					v			
1852022	Roseitalea porphyridii				v			v	v
2675794	Enterobacteriaceae endosymbiont of Plateumaris consimilis				v				
1885031	Pseudonocardia sp. Ae331_Ps2							v	
1736460	Nocardioides sp. Root140							v	
1692248	Farfantepenaeus duorarum pink shrimp associated circular virus			v	v		v	v	v
1354514	Mycobacterium phage Quink	v		v	v	v	v	v	v
2593658	unclassified Nostoc							v	
111504	Bartonella birtlesii							v	
303300	Taro vein chlorosis nucleorhabdovirus	v		v	v		v	v	v
1509244	Candidatus Nucleicultrix amoebiphila							v	
20059			v						
1069827	Listeria fleischmannii							v	
11633			v						
2656585	Mycobacterium phage Kanely				v				
684719	alpha proteobacterium HIMB114					v		v	
2290922	Lysobacter sp. TY2-98				v			v	v
28725	Corvidae		v						
707473	Norovirus Hu/GII-4/Miyazaki2/2007/JP			v					
272634	Mycoplasma pneumoniae M129	v		v	v	v	v		v
1415546	Streptomyces sp. MMG1533							v	
1558463	Vibrio phage CJY			v					
1783232	Croceicoccus bisphenolivorans							v	
1263625	Microbacterium sp. SA39							v	
883118	Klebsiella oxytoca 10-5243					v			
1506471	Dakarella massiliensis							v	
1414654	Oceanisphaera psychrotolerans							v	
2726452	Faecalibacillus sp. H12							v	
2340808	Cluster bean endornavirus 1				v				v
1329833	Enterobacter sp. MGH 37							v	
103722	Grapevine fleck virus	v		v	v	v	v	v	v
2093865	Escherichia sp. MOD1-EC5287							v	
202907	Collimonas							v	
1589899	Frigoribacterium sp. MEB024							v	
1118235	Stenotrophomonas maltophilia PML168					v			
12303	Cowpea chlorotic mottle virus	v		v	v	v	v	v	v
441112	Tropicimonas isoalkanivorans							v	
1261128	Pantoea agglomerans 299R					v			
1483724	Sclerotinia sclerotiorum negative-stranded RNA virus 1	v		v	v		v	v	v
2293036	Clostridium sp. AM51-4							v	
163869	Algicola sagamiensis							v	
136093	Globicatella sulfidifaciens							v	
4405	Trochodendraceae		v						
1165095	Richelia intracellularis HM01					v			
1434324	Bacillus amyloliquefaciens UMAF6614			v	v				v
2029	Kibdelosporangium		v					v	
178356	Flavobacterium xinjiangense							v	
2491692	Escherichia coli O39:H21				v				
1739378	Rothia sp. HMSC068F09							v	
693750	Brucella sp. BO2				v	v		v	
359370	Microbulbifer sp. A4B17				v				v
1566995	Pseudomonas phage YH6			v	v		v	v	v
1747287	Enterococcus phage vB_EfaS_IME198			v	v		v	v	v
2560812	Tomato leaf curl New Delhi virus 5			v					
424366	Bat coronavirus HKU5-5			v					
714309	Merremia mosaic Puerto Rico virus	v		v	v	v	v	v	v
38420	Simian adenovirus 3	v		v	v		v	v	v
151534	Lactococcus phage bIL311	v		v	v	v	v	v	v
1712665	Agathobacter ruminis							v	
2487710	Micromonospora sp. HM5-17							v	
990317	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	v		v	v	v			v
205920	Ehrlichia chaffeensis str. Arkansas	v		v	v	v	v		v
1715088	Rothia sp. HMSC058E10							v	
1903593	Campylobacter sp. BCW_4335							v	
2170544	Apple luteovirus 1				v				v
378506	Hepatitis C virus subtype 6n			v					
1357399	Helicobacter canis NCTC 12740					v			
469959	Enterovirus A92			v					
14328			v						
2292299	Butyricicoccus sp. OF13-6							v	
160808	Acidithiobacillus ferrivorans				v			v	
458673	Hantaanvirus CGAa4MP9			v					
1715139	Weeksella sp. HMSC059D05							v	
262177	Orgyia pseudotsugata multiple nucleopolyhedrovirus	v		v	v	v	v	v	v
574556	Anaplasma centrale str. Israel	v		v	v	v	v		v
2690283	Streptomyces sp. SID4941							v	
939921	Verrucomicrobia bacterium SCGC AAA300-O17					v			
2293832	Pseudomonas kairouanensis							v	
370622	Aureimonas altamirensis							v	
994994	Rotavirus F chicken/03V0568/DEU/2003	v		v	v		v	v	v
2822431	Klebsiella sp. 28							v	
1187851	Rhodovulum sp. PH10							v	
115987	Aeromonas virus 44RR2	v		v	v		v	v	v
1213182	Bacillus anthracis str. BF1				v	v			v
1609098	Streptomyces sp. NRRL F-5122							v	
1933771	Mycobacterium phage SimranZ1				v				
2510464	Klebsiella phage ST13-OXA48phi12.1				v				
294	Pseudomonas fluorescens		v	v	v			v	v
413	Methylococcus		v					v	
592308	Kytococcus aerolatus							v	
1227484	Halorubrum saccharovorum DSM 1137					v			
11289	Viral hemorrhagic septicemia virus strain MAKAH		v						
469660	Thalassomonas phage BA3	v		v	v	v	v	v	v
1165852	Melaminivora alkalimesophila					v		v	
196023	Aeromonas hydrophila subsp. hydrophila				v				v
1922654	Beihai rhabdo-like virus 4			v	v		v	v	v
10327	Equine herpesvirus type 1 (isolate HSV25A)		v						
1834112	Mycobacterium sp. 852014-50255_SCH5639931							v	
223292	Mungbean yellow mosaic India virus-[SoybeanTN]			v					
351745	Shewanella sp. W3-18-1	v		v	v	v		v	v
1500281	Chryseobacterium sp. CF284							v	
1167632	Mammaliicoccus vitulinus F1028					v			
2293089	Coprococcus sp. AF18-48							v	
1435466	Oceanobacillus bengalensis							v	
1775636	Thiomicrospira sp. XS5							v	
2711215	Sphingosinithalassobacter tenebrarum				v			v	v
2614441	Flavobacterium sp. LPB0248				v				
2796471	Leucobacter chromiisoli							v	
1183378	Campylobacter coli RM1875			v	v				v
1981744	Pseudomonas sp. B15(2017)							v	
35754	Dactylosporangium aurantiacum							v	
2698841	Proteus sp. G2618							v	
20749			v						
1395611	Parvo-like hybrid virus UC11			v					
17102			v						
