LEVEL	TAXA	ADDITIVE	ASSIGNED
superkingdom	Bacteria	1813	
superkingdom	Viruses	27	
phylum	Proteobacteria	1763	
phylum	Firmicutes	24	
phylum	Actinobacteria	16	
phylum	Spirochaetes	5	
phylum	Tenericutes	2	
phylum	Cyanobacteria	2	
phylum	Bacteroidetes	1	
class	Gammaproteobacteria	1641	
class	Betaproteobacteria	113	
class	Bacilli	24	
class	Actinobacteria	16	
class	Spirochaetia	5	
class	Alphaproteobacteria	5	
class	Deltaproteobacteria	4	
class	Mollicutes	2	
order	Enterobacteriales	1582	
order	Burkholderiales	113	
order	Alteromonadales	56	
order	Lactobacillales	23	
order	Actinomycetales	16	
order	Picornavirales	11	
order	Spirochaetales	5	
order	Rhizobiales	4	
order	Myxococcales	4	
order	Herpesvirales	3	
order	Caudovirales	2	
order	Mycoplasmatales	2	
order	Pseudomonadales	2	
order	Tymovirales	1	
order	Bacillales	1	
order	Nostocales	1	
order	Sphingomonadales	1	
order	Oscillatoriales	1	
order	Bacteroidetes Order II. Incertae sedis	1	
order	Aeromonadales	1	
family	Enterobacteriaceae	1582	
family	Alcaligenaceae	98	
family	Alteromonadaceae	55	
family	Streptococcaceae	23	
family	Picornaviridae	11	
family	Comamonadaceae	10	
family	Streptomycetaceae	7	
family	Mycobacteriaceae	6	
family	Spirochaetaceae	5	
family	Burkholderiaceae	5	
family	Partitiviridae	5	
family	Polyangiaceae	4	
family	Methylobacteriaceae	3	
family	Mycoplasmataceae	2	
family	Flaviviridae	2	
family	Glycomycetaceae	2	
family	Pseudomonadaceae	2	
family	Herpesviridae	2	
family	Alloherpesviridae	1	
family	Paenibacillaceae	1	
family	Rhizobiaceae	1	
family	Sphingomonadaceae	1	
family	Microviridae	1	
family	Geodermatophilaceae	1	
family	Siphoviridae	1	
family	Shewanellaceae	1	
family	Rhodothermaceae	1	
family	Tymoviridae	1	
family	Nostocaceae	1	
family	Aeromonadaceae	1	
family	Myoviridae	1	
genus	Escherichia	1424	
genus	Shigella	146	
genus	Achromobacter	97	
genus	Alteromonas	55	
genus	Streptococcus	23	
genus	Cardiovirus	11	
genus	Delftia	10	
genus	Streptomyces	7	
genus	Salmonella	7	
genus	Mycobacterium	6	
genus	Burkholderia	5	
genus	Sorangium	4	
genus	Treponema	4	
genus	Betapartitivirus	4	
genus	Methylobacterium	3	
genus	Stackebrandtia	2	
genus	Pseudomonas	2	
genus	Hepacivirus	2	
genus	Mycoplasma	2	
genus	Klebsiella	2	
genus	Aeromonas	1	
genus	Lambdalikevirus	1	
genus	Citrobacter	1	
genus	Tymovirus	1	
genus	Enterobacter	1	
genus	Rhodothermus	1	
genus	Paenibacillus	1	
genus	Sphaerochaeta	1	
genus	Crinalium	1	
genus	Sphingomonas	1	
genus	Modestobacter	1	
genus	Bordetella	1	
genus	Shewanella	1	
genus	Microvirus	1	
genus	Anabaena	1	
genus	Rhizobium	1	
genus	Simplexvirus	1	
genus	Cyprinivirus	1	
species	Escherichia coli	1417	
species	Achromobacter xylosoxidans	97	
species	Alteromonas macleodii	55	
species	Shigella flexneri	54	
species	Shigella sonnei	41	
species	Shigella boydii	37	
species	Streptococcus suis	23	
species	Shigella dysenteriae	14	
species	Encephalomyocarditis virus	11	11
species	Escherichia fergusonii	7	
species	Delftia acidovorans	7	
species	Salmonella enterica	7	
species	Mycobacterium tuberculosis	5	
species	Burkholderia mallei	5	
species	Treponema primitia	4	
species	Sorangium cellulosum	4	
species	Streptomyces bingchenggensis	4	
species	Methylobacterium extorquens	3	
species	Pleurotus ostreatus virus 1	3	3
species	Delftia sp. Cs1-4	3	3
species	Streptomyces cattleya	2	
species	Klebsiella pneumoniae	2	
species	Pseudomonas sp. TKP	2	2
species	Hepatitis C virus	2	
species	Mycoplasma hyopneumoniae	2	
species	Phytophthora infestans RNA virus 1	2	2
species	Stackebrandtia nassauensis	2	
species	Enterobacteria phage lambda	1	1
species	Shewanella sp. ANA-3	1	1
species	Rhodothermus marinus	1	
species	Modestobacter marinus	1	1
species	Caviid herpesvirus 2	1	1
species	Crinalium epipsammum	1	
species	Sphingomonas sp. MM-1	1	1
species	Anabaena cylindrica	1	
species	Enterobacteria phage phiX174 sensu lato	1	1
species	Rhizobium sp. IRBG74	1	1
species	Enterobacter aerogenes	1	
species	Sphaerochaeta coccoides	1	
species	Dulcamara mottle virus	1	1
species	Aeromonas hydrophila	1	
species	Streptomyces albus	1	
species	Mycobacterium ulcerans	1	
species	Primula malacoides virus 1	1	
species	Cyprinid herpesvirus 1	1	1
species	Citrobacter rodentium	1	
species	Bordetella bronchiseptica	1	
species	Dill cryptic virus 1	1	1
species	Enterobacteriaceae bacterium strain FGI 57	1	1
species	Cercopithecine herpesvirus 2	1	1
species	Shigella phage SfIV	1	1
species	Paenibacillus mucilaginosus	1	
strain	Escherichia coli DH1	136	136
strain	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	97	97
strain	Escherichia coli str. K-12 substr. MG1655	91	91
strain	Escherichia coli str. K-12 substr. DH10B	80	80
strain	Escherichia coli str. K-12 substr. W3110	67	67
strain	Escherichia coli BW2952	64	64
strain	Escherichia coli BL21(DE3)	58	58
strain	Alteromonas macleodii str. 'Ionian Sea U8'	55	55
strain	Escherichia coli str. K-12 substr. MDS42	52	52
strain	Escherichia coli KO11FL	41	41
strain	Escherichia coli W	39	39
strain	Escherichia coli P12b	35	35
strain	Escherichia coli ETEC H10407	34	34
strain	Escherichia coli UMNK88	33	33
strain	Escherichia coli SE11	30	30
strain	Escherichia coli B str. REL606	28	28
strain	Escherichia coli O104:H4 str. 2009EL-2071	27	27
strain	Escherichia coli ATCC 8739	25	25
strain	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	24	24
strain	Escherichia coli HS	24	24
strain	Escherichia coli O103:H2 str. 12009	24	24
strain	Escherichia coli O26:H11 str. 11368	22	22
strain	Escherichia coli O157:H7 str. EC4115	22	22
strain	Shigella boydii Sb227	22	22
strain	Streptococcus suis JS14	22	22
strain	Shigella sonnei Ss046	21	21
strain	Escherichia coli Xuzhou21	20	20
strain	Shigella sonnei 53G	20	20
strain	Escherichia coli O111:H- str. 11128	20	20
strain	Shigella flexneri 2a str. 2457T	20	20
strain	Escherichia coli UMN026	19	19
strain	Escherichia coli APEC O78	19	19
strain	Escherichia coli O157:H7 str. Sakai	19	19
strain	Escherichia coli S88	19	19
strain	Escherichia coli LY180	17	17
strain	Escherichia coli O157:H7 str. TW14359	17	17
strain	Escherichia coli O104:H4 str. 2009EL-2050	17	17
strain	Escherichia coli O104:H4 str. 2011C-3493	16	16
strain	Escherichia coli O55:H7 str. CB9615	16	16
strain	Escherichia coli NA114	16	16
strain	Escherichia coli O55:H7 str. RM12579	15	15
strain	Escherichia coli 55989	15	15
strain	Shigella boydii CDC 3083-94	15	15
strain	Escherichia coli O157:H7 str. EDL933	15	15
strain	Escherichia coli E24377A	15	15
strain	Escherichia coli str. 'clone D i14'	14	14
strain	Shigella dysenteriae Sd197	14	14
strain	Shigella flexneri 2002017	14	14
strain	Escherichia coli IAI1	13	13
strain	Escherichia coli JJ1886	11	11
strain	Escherichia coli IHE3034	11	11
strain	Escherichia coli O127:H6 str. E2348/69	11	11
strain	Shigella flexneri 5 str. 8401	10	10
strain	Escherichia coli APEC O1	10	10
strain	Shigella flexneri 2a str. 301	10	10
strain	Escherichia coli IAI39	9	9
strain	Escherichia coli O7:K1 str. CE10	9	9
strain	Escherichia coli 042	9	9
strain	Escherichia coli O83:H1 str. NRG 857C	9	9
strain	Escherichia coli SMS-3-5	9	9
strain	Escherichia coli 536	8	8
strain	Escherichia coli UM146	8	8
strain	Escherichia coli SE15	8	8
strain	Escherichia coli ABU 83972	8	8
strain	Escherichia fergusonii ATCC 35469	7	7
strain	Escherichia coli PMV-1	7	7
strain	Escherichia coli UTI89	7	7
strain	Escherichia coli CFT073	7	7
strain	Delftia acidovorans SPH-1	7	7
strain	Escherichia coli ED1a	6	6
strain	Escherichia coli str. 'clone D i2'	6	6
strain	Escherichia coli LF82	6	6
strain	Mycobacterium tuberculosis KZN 1435	5	5
strain	Burkholderia mallei NCTC 10229	4	4
strain	Streptomyces bingchenggensis BCW-1	4	4
strain	Treponema primitia ZAS-2	4	4
strain	Sorangium cellulosum So0157-2	4	4
strain	Methylobacterium extorquens DM4	3	3
strain	Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1	2	2
strain	Streptomyces cattleya NRRL 8057 = DSM 46488	2	2
strain	Hepatitis C virus genotype 2	2	2
strain	Mycoplasma hyopneumoniae J	2	2
strain	Stackebrandtia nassauensis DSM 44728	2	2
strain	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	1	1
strain	Enterobacter aerogenes KCTC 2190	1	1
strain	Primula malacoides virus China/Mar2007	1	1
strain	Rhodothermus marinus SG0.5JP17-172	1	1
strain	Mycobacterium ulcerans Agy99	1	1
strain	Aeromonas hydrophila ML09-119	1	1
strain	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1	1
strain	Crinalium epipsammum PCC 9333	1	1
strain	Anabaena cylindrica PCC 7122	1	1
strain	Klebsiella pneumoniae subsp. pneumoniae HS11286	1	1
strain	Salmonella enterica subsp. enterica serovar Pullorum str. S06004	1	1
strain	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	1	1
strain	Paenibacillus mucilaginosus K02	1	1
strain	Streptomyces albus J1074	1	1
strain	Streptococcus suis D12	1	1
strain	Bordetella bronchiseptica RB50	1	1
strain	Salmonella enterica subsp. enterica serovar Agona str. 24249	1	1
strain	Burkholderia mallei NCTC 10247	1	1
strain	Klebsiella pneumoniae CG43	1	1
strain	Citrobacter rodentium ICC168	1	1
strain	Sphaerochaeta coccoides DSM 17374	1	1
replicon	568125122	97	97
replicon	556503834	91	91
replicon	170079663	80	80
replicon	387619774	79	79
replicon	388476123	67	67
replicon	238899406	64	64
replicon	386593590	57	57
replicon	522588077	55	55
replicon	471332236	52	52
replicon	386703215	35	35
replicon	387610477	34	34
replicon	386612163	33	33
replicon	387825439	32	32
replicon	209917191	30	30
replicon	254160123	28	28
replicon	407466711	27	27
replicon	387823261	26	26
replicon	170018061	25	25
replicon	378710836	25	25
replicon	253771435	24	24
replicon	157159467	24	24
replicon	260842239	24	24
replicon	82542618	22	22
replicon	386578980	22	22
replicon	260853213	22	22
replicon	209395693	22	22
replicon	74310614	21	21
replicon	386607309	21	21
replicon	377520096	20	20
replicon	30061571	20	20
replicon	387880559	20	20
replicon	260866153	20	20
replicon	560154719	20	20
replicon	443615330	19	19
replicon	15829254	19	19
replicon	218703261	19	19
replicon	386707734	18	18
replicon	254791136	17	17
replicon	544388862	17	17
replicon	410480139	17	17
replicon	407479587	16	16
replicon	386698504	16	16
replicon	386617516	16	16
replicon	291280824	16	16
replicon	187730020	15	15
replicon	387504934	15	15
replicon	16445223	15	15
replicon	157154711	15	15
replicon	218693476	15	15
replicon	386632422	14	14
replicon	384541581	14	14
replicon	82775382	14	14
replicon	218552585	13	13
replicon	218556939	13	13
replicon	9626692	11	11
replicon	556550243	11	11
replicon	215485161	11	11
replicon	386597751	11	11
replicon	110804074	10	10
replicon	344915202	10	10
replicon	170679574	9	9
