DATASET	TOOL	LEVEL	TOP1	TOP2	TOP3	TOP4	TOP5
UnmappedReads	bwa	genus	Escherichia	Shigella	Achromobacter	Alteromonas	Streptococcus
UnmappedReads	bwa	species	Escherichia coli	Achromobacter xylosoxidans	Alteromonas macleodii	Shigella flexneri	Shigella sonnei
UnmappedReads	bwa	strain	Escherichia coli DH1	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	Escherichia coli str. K-12 substr. MG1655	Escherichia coli str. K-12 substr. DH10B	Escherichia coli str. K-12 substr. W3110
UnmappedReads	gottcha-genDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-genDB-b	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-genDB-b	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-genDB-v	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-genDB-v	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-genDB-v	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-b	species	Escherichia coli	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-b	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-v	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-v	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-speDB-v	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-b	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-b	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-b	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-v	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-v	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	gottcha-strDB-v	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphlan	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphlan	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphlan	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphyler-srv	genus	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphyler-srv	species	N/A	N/A	N/A	N/A	N/A
UnmappedReads	metaphyler-srv	strain	N/A	N/A	N/A	N/A	N/A
UnmappedReads	kraken_mini	genus	Escherichia	Achromobacter	Delftia	Shigella	Streptococcus
UnmappedReads	kraken_mini	species	Escherichia coli	Achromobacter xylosoxidans	Shigella sonnei	Delftia acidovorans	Streptococcus suis
UnmappedReads	kraken_mini	strain	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	Escherichia coli K-12	Escherichia coli str. K-12 substr. MG1655	Streptococcus suis JS14	Delftia acidovorans SPH-1
