DATASET	TOOL	LEVEL	TOP1	TOP2	TOP3	TOP4	TOP5
allReads	gottcha-genDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-b	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-v	genus	Lambdalikevirus	Unassigned genus - Enterobacteria phage YYZ-2008	Epsilon15likevirus	Punalikevirus	Inovirus
allReads	gottcha-genDB-v	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-v	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	species	Escherichia coli	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-v	genus	Unassigned genus - Enterobacteria phage YYZ-2008	Epsilon15likevirus	Punalikevirus	Lambdalikevirus	Inovirus
allReads	gottcha-speDB-v	species	Enterobacteria phage YYZ-2008	Escherichia phage TL-2011b	Enterobacteria phage P1	Stx2-converting phage 1717	Enterobacteria phage If1
allReads	gottcha-speDB-v	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	genus	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-v	genus	Unassigned genus - Enterobacteria phage YYZ-2008	Epsilon15likevirus	Punalikevirus	Lambdalikevirus	Inovirus
allReads	gottcha-strDB-v	species	Enterobacteria phage YYZ-2008	Escherichia phage TL-2011b	Enterobacteria phage P1	Stx2-converting phage 1717	Enterobacteria phage If1
allReads	gottcha-strDB-v	strain	Enterobacteria phage YYZ-2008	Escherichia phage TL-2011b	Enterobacteria phage P1	Stx2-converting phage 1717	Enterobacteria phage If1
allReads	metaphlan2	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	metaphlan2	species	Escherichia coli	N/A	N/A	N/A	N/A
allReads	metaphlan2	strain	N/A	N/A	N/A	N/A	N/A
allReads	bwa	genus	Escherichia	Shigella	Salmonella	Klebsiella	Enterobacter
allReads	bwa	species	Escherichia coli	Shigella flexneri	Shigella sonnei	Shigella boydii	Shigella sp. PAMC 28760
allReads	bwa	strain	Escherichia coli K-12	Escherichia coli str. K-12 substr. MG1655	Escherichia coli DH1	Escherichia coli O157:H7	Escherichia coli BW25113
allReads	kraken2	genus	Escherichia	Homo	Citrobacter	Enterobacter	Shigella
allReads	kraken2	species	Escherichia coli	Homo sapiens	Escherichia albertii	Escherichia marmotae	Salmonella enterica
allReads	kraken2	strain	Escherichia coli K-12	Shigella dysenteriae Sd197	Escherichia coli str. K-12 substr. MG1655	Escherichia coli str. K-12 substr. MG1655star	Escherichia coli O157:H7
