DATASET	TOOL	LEVEL	TOP1	TOP2	TOP3	TOP4	TOP5
allReads	gottcha-genDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-b	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-v	genus	Punalikevirus	Epsilon15likevirus	Lambdalikevirus	Inovirus	Unassigned genus - Enterobacteria phage YYZ-2008
allReads	gottcha-genDB-v	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-genDB-v	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	species	Escherichia coli	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-speDB-v	genus	Punalikevirus	Epsilon15likevirus	Inovirus	Unassigned genus - Enterobacteria phage YYZ-2008	Lambdalikevirus
allReads	gottcha-speDB-v	species	Enterobacteria phage P1	Escherichia phage TL-2011b	Enterobacteria phage If1	Enterobacteria phage YYZ-2008	Stx2-converting phage 1717
allReads	gottcha-speDB-v	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	genus	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	species	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-b	strain	N/A	N/A	N/A	N/A	N/A
allReads	gottcha-strDB-v	genus	Punalikevirus	Epsilon15likevirus	Inovirus	Unassigned genus - Enterobacteria phage YYZ-2008	Lambdalikevirus
allReads	gottcha-strDB-v	species	Enterobacteria phage P1	Escherichia phage TL-2011b	Enterobacteria phage If1	Enterobacteria phage YYZ-2008	Stx2-converting phage 1717
allReads	gottcha-strDB-v	strain	Enterobacteria phage P1	Escherichia phage TL-2011b	Enterobacteria phage If1	Enterobacteria phage YYZ-2008	Stx2-converting phage 1717
allReads	metaphlan	genus	Escherichia	N/A	N/A	N/A	N/A
allReads	metaphlan	species	Escherichia coli	N/A	N/A	N/A	N/A
allReads	metaphlan	strain	N/A	N/A	N/A	N/A	N/A
allReads	bwa	genus	Escherichia	Shigella	Salmonella	Klebsiella	Cardiovirus
allReads	bwa	species	Escherichia coli	Shigella flexneri	Shigella sonnei	Shigella boydii	Shigella dysenteriae
allReads	bwa	strain	Escherichia coli DH1	Escherichia coli str. K-12 substr. MG1655	Escherichia coli BW2952	Escherichia coli str. K-12 substr. MDS42	Escherichia coli BL21(DE3)
allReads	kraken_mini	genus	Escherichia	Shigella	Enterobacter	Salmonella	Citrobacter
allReads	kraken_mini	species	Escherichia coli	Shigella dysenteriae	Escherichia fergusonii	Shigella flexneri	Shigella sonnei
allReads	kraken_mini	strain	cellular organisms	Escherichia coli K-12	Shigella dysenteriae Sd197	Escherichia fergusonii ATCC 35469	Escherichia coli str. K-12 substr. MG1655
