Family	Count	Hits	TotMarkerLength	Property	Source	Gene Name	GI	Organism	Product	Function	Classification
VFG1732	2490.174143705937	218	73	Virulence Factor	VFDB	c3611	26249446	Escherichia coli CFT073	Transposase insD for insertion element IS2A/D/F/H/I/K 	Inhibits lymphocyte activation; acting as adhesin in non-O157:H7 EHEC strains	Adherence
VFG0612	2978.0540069674726	104	37	Virulence Factor	VFDB	tnpH	24114941	Shigella flexneri (serotype 2a) 301	orf, conserved hypothetical protein 	Involved in intestinal colonization and persistence.	Adherence; Nonfimbrial
VFG0609	2876.1889805722067	60	12	Virulence Factor	VFDB	yi21_g2	24114938	Shigella flexneri (serotype 2a) 301	orf, conserved hypothetical protein 	Involved in intestinal colonization and persistence.	Adherence; Nonfimbrial
VFG2415	414.5095883765827	55	195	Virulence Factor	VFDB	ecpC	15799996	Escherichia coli O157:H7 EDL933	putative enzyme 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG1655	325.0692754084213	35	49	Virulence Factor	VFDB	insG	28316235	Escherichia coli 536	transposase InsG of insertion element IS4 	Inhibits lymphocyte activation; acting as adhesin in non-O157:H7 EHEC strains	Adherence
VFG1675	167.77769053337872	35	290	Virulence Factor	VFDB	orf52	28316255	Escherichia coli 536	hypothetical protein 	Inhibits lymphocyte activation; acting as adhesin in non-O157:H7 EHEC strains	Adherence
VFG0871	457.57551963648734	32	74	Virulence Factor	VFDB	fimB	26251199	Escherichia coli CFT073	Type 1 fimbriae Regulatory protein fimB 	Makes a important contribution to colonization of the bladder	Adherence; Invasion
VFG0462	531.296020022366	31	122	Virulence Factor	VFDB	csgG	16764495	Salmonella enterica (serovar typhimurium) LT2	putative transcriptional regulator in curly assembly/transport, 2nd curli operon 	Aids in attachment to the villi of enterocytes, also cause the bacteria to become attached to each other	Adherence; Fimbrial
VFG0656	115.43767116846524	31	300	Virulence Factor	VFDB	SF2992	24114256	Shigella flexneri (serotype 2a) 301	orf, conserved hypothetical protein 	May account for the early diarrheal phase often observed during shigellosis	Toxin; A-B type; Enterotoxin
VFG2416	301.9998429600817	29	207	Virulence Factor	VFDB	ecpD	15799995	Escherichia coli O157:H7 EDL933	putative receptor 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG0879	542.8101752550488	25	123	Virulence Factor	VFDB	fimH	26251208	Escherichia coli CFT073	FimH protein precursor 	Makes a important contribution to colonization of the bladder	Adherence; Invasion
VFG0931	375.59323903495005	25	46	Virulence Factor	VFDB	entC	26246572	Escherichia coli CFT073	Isochorismate synthase entC 	Iron uptake: the siderophore enterobactin imported through the FepA receptor and the FepBCDG system	Iron uptake; Siderophore
VFG1529	314.33448740245655	25	53	Virulence Factor	VFDB	yeeT	24528058	Escherichia coli 536	YeeT protein 	Confers invasiveness, modulates trafficking of E. coli-containing vacuoles and enhances intracellular bacterial survival in brain microvascular endothelial cells (BMECs)	Invasion; Antiphagocytosis
VFG2413	476.8418573053918	25	160	Virulence Factor	VFDB	ecpR	15799999	Escherichia coli O157:H7 EDL933	putative regulator 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG2414	851.7944288617684	25	136	Virulence Factor	VFDB	ecpA	15799998	Escherichia coli O157:H7 EDL933	hypothetical protein 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG1049	396.5654503516224	24	64	Virulence Factor	VFDB	fecI	15808729	Shigella flexneri (serotype 2a) YSH6000	FecI 	Involved in the cleavage of IcsA, may contribute to the polar distribution of IcsA on the lateral side of the bacterial surface	Protease; Serine protease
VFG2412	262.6085590957232	24	79	Virulence Factor	VFDB	ecpB	15799997	Escherichia coli O157:H7 EDL933	hypothetical protein 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG1485	503.3330716001361	23	29	Virulence Factor	VFDB	l7045	24528016	Escherichia coli 536	L7045 	Confers invasiveness, modulates trafficking of E. coli-containing vacuoles and enhances intracellular bacterial survival in brain microvascular endothelial cells (BMECs)	Invasion; Antiphagocytosis
VFG1674	217.3483718273315	23	133	Virulence Factor	VFDB	orf51	28316254	Escherichia coli 536	hypothetical protein 	Inhibits lymphocyte activation; acting as adhesin in non-O157:H7 EHEC strains	Adherence
VFG2417	205.24261172044388	23	110	Virulence Factor	VFDB	ecpE	15799994	Escherichia coli O157:H7 EDL933	hypothetical protein 	ECP, composed of a 21-kDa pilin subunit EspA, is a pilus-adherence factor that is crucial to the virulence of E. coli O157 in humans, and is also carried by commensal strains of E. coli.; It is suggested that pathogenic E. coli strains may use ECP to mimic commensal E. coli and provide themselves with an ecological advantage for host colonization and evasion of the immune system.	Adherence
VFG0640	189.88014078328487	21	141	Virulence Factor	VFDB	SF2976	24114240	Shigella flexneri (serotype 2a) 301	orf, conserved hypothetical protein 	May account for the early diarrheal phase often observed during shigellosis	Toxin; A-B type; Enterotoxin
VFG0872	254.9349323689001	19	108	Virulence Factor	VFDB	fimE	26251200	Escherichia coli CFT073	Type 1 fimbriae Regulatory protein fimE 	Makes a important contribution to colonization of the bladder	Adherence; Invasion
