Family	Count	Hits	TotMarkerLength	Resistant_To	ID_Orig	Merged_ID	Class	Source	Description
NP_418505	335.55538106675743	74	296	acriflavine; puromycin; t_chloride	mdtnop	RND_Antibiotic_Efflux	mdtnop	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
YP_002640141	281.0821049195565	52	100		mdtm	MFS_Antibiotic_Efflux	mdtm	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
MFSAntibioticEffluxPump_9	372.77261474500244	38	206		MFSAntibioticEffluxPump	MFS_Antibiotic_Efflux	MFSAntibioticEffluxPump	WUSTL	major facilitator superfamily (MFS) antibiotic efflux pump [ARO:0010002]
NP_418504	475.8785404219469	35	209	acriflavine; puromycin; t_chloride	mdtnop	RND_Antibiotic_Efflux	mdtnop	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
YP_542447	360.09203936610527	28	40	acriflavin; aminoglycoside; beta_lactam; glycylcycline; macrolide	acr	RND_Antibiotic_Efflux	acr	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
NP_418166	568.9852113740669	26	29	chloramphenicol	mdtl	MFS_Antibiotic_Efflux	mdtl	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
NP_417970	323.5712603143732	25	81	doxorubicin; erythromycin	mdtef	RND_Antibiotic_Efflux	mdtef	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
YP_672241	317.8945715369281	22	72	cephalosporin	bla_c	Class C Beta-Lactamase	bla_c	ARDB	Class C beta-lactamase. This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properites. 
YP_405004	419.44422633344675	21	27	doxorubicin; erythromycin	mdtef	RND_Antibiotic_Efflux	mdtef	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
marA_1	476.8418573053918	21	61		marA	Gene_Modulating_Antibiotic_Efflux	Gene_Modulating_Antibiotic_Efflux	WUSTL	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]
YP_410370	293.0030682503208	20	67	acriflavine; puromycin; t_chloride	mdtnop	RND_Antibiotic_Efflux	mdtnop	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
CAL18627	125.83326790003404	18	43
RNDAntibioticEffluxPump_2	1161.5378575387745	18	102		RNDAntibioticEffluxPump	RND_Antibiotic_Efflux	RND_Efflux_Pump	WUSTL	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]
FluoroquinoloneResistantDNATopoisomerase_2	377.4998037001021	17	20		FluoroquinoloneResistantDNATopoisomerase	Quinolone_Resistance	Quninolone_Resistance	WUSTL	Fluoroquinolone Resistant DNA Topoisomerase [ARO:3000452]
YP_002382998	306.3766522783437	15	35		mdth	MFS_Antibiotic_Efflux	mdth	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
YP_002384189	0.0	13	79
emrB_10	929.2302860310195	13	102		emrB	MFS_Antibiotic_Efflux	MFSAntibioticEffluxPump	WUSTL	emrB: subunit of efflux pump conferring antibiotic resistance [ARO:3000074]
YP_001177494	0.0	12	59		bcr_mfs	MFS_Antibiotic_Efflux	bcr_mfs	ARDB	NA
YP_001457897	251.6665358000681	12	18	deoxycholate; fosfomycin	mdtg	MFS_Antibiotic_Efflux	mdtg	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
YP_310429	125.83326790003404	12	38	enoxacin; norfloxacin	mdtk	MFS_Antibiotic_Efflux	mdtk	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
