Name	Description	URL
Ecoli_042	Escherichia coli 042, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387605479
Ecoli_11128	Escherichia coli O111:H- str. 11128, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/260866153
Ecoli_11368	Escherichia coli O26:H11 str. 11368 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/260853213
Ecoli_12009	Escherichia coli O103:H2 str. 12009, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/260842239
Ecoli_2009EL2050	Escherichia coli O104:H4 str. 2009EL-2050 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/410480139
Ecoli_2009EL2071	Escherichia coli O104:H4 str. 2009EL-2071 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/407466711
Ecoli_2011C3493	Escherichia coli O104:H4 str. 2011C-3493 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/407479587
Ecoli_536	Escherichia coli 536, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/110640213
Ecoli_55989	Escherichia coli 55989 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218693476
Ecoli_ABU_83972	Escherichia coli ABU 83972 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386637352
Ecoli_APEC_O1	Escherichia coli APEC O1 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/117622295
Ecoli_ATCC_8739	Escherichia coli ATCC 8739 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/170018061
Ecoli_BL21_DE3	Escherichia coli BL21(DE3) chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387825439
Ecoli_BW2952	Escherichia coli BW2952 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/238899406
Ecoli_CB9615	Escherichia coli O55:H7 str. CB9615 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/291280824
Ecoli_CE10	Escherichia coli O7:K1 str. CE10 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386622414
Ecoli_CFT073	Escherichia coli CFT073 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/26245917
Ecoli_DH1	Escherichia coli DH1, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387619774
Ecoli_Di14	Escherichia coli str. 'clone D i14' chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386632422
Ecoli_Di2	Escherichia coli str. 'clone D i2' chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386627502
Ecoli_E2348_69	Escherichia coli O127:H6 str. E2348/69 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/215485161
Ecoli_E24377A	Escherichia coli E24377A chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/157154711
Ecoli_EC4115	Escherichia coli O157:H7 str. EC4115 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/209395693
Ecoli_ED1a	Escherichia coli ED1a chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218687878
Ecoli_EDL933	Escherichia coli O157:H7 str. EDL933 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/16445223
Ecoli_ETEC_H10407	Escherichia coli ETEC H10407, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387610477
Ecoli_HS	Escherichia coli HS, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/157159467
Ecoli_IAI1	Escherichia coli IAI1 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218552585
Ecoli_IAI39	Escherichia coli IAI39 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218698419
Ecoli_IHE3034	Escherichia coli IHE3034 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386597751
Ecoli_K12_DH10B	Escherichia coli str. K-12 substr. DH10B chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/170079663
Ecoli_K12_MG1655	Escherichia coli str. K-12 substr. MG1655 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/49175990
